HANDLE	BLOCKNAME	НАИМЕНОВАНИЕ	ОБОЗНАЧ_КАБЕЛЯ	НАЧАЛО	КОНЕЦ	ДЛИНА	ПРИМЕЧАНИЕ
'16A4D4	*U22	551.SB	551-K2	Щит ШУК551	Пульт местного управления (551.SB)		
'16A4A0	*U22	601.SB	601-K2	Щит ШУК601	Пульт местного управления (601.SB)		
'2B5FE	*U4461	7ШПС	ENET-SSK224-K2	Шкаф ШУК224	7ШПС		
'2B5F1	*U4461	7ШПС	ENET-SSK224-K1	Шкаф ШУК224	7ШПС		
'2B5E3	*U4461	 ШСК224	ENET-SSK224-K1	Шкаф ШУК224 	Шкаф ШСК224		
'2B5BA	*U22	224.SB	224-K2	Щит ШУК224	Пульт местного управления (224.SB)		
'2B5AC	*U4461	 ШСК224	224.1-K1	Щит ШУК224	Щит ШСК224		
'2B59E	*U4461	 ШУК224	SSK224-K1	Щит ШСК224	Щит ШУК224		
'2B590	*U4461	 ШУК224	SUK224-S1	Щит ШСК224	Щит ШУК224		
'2B582	ElectrikKabinet	7ШПС	ENET-SSK704-K2	Шкаф ШУК704	7ШПС		
'2B574	*U4459	 ШСК704	ENET-SSK704-K1	Шкаф ШУК704 	Шкаф ШСК704		
'2B566	*U4459	 ШСК704	704L-K1	Щит ШУК704	Щит ШСК704		
'2B53D	*U4460	704.SB	704-K2	Щит ШУК704	Пульт местного управления (704.SB)		
'2B52F	*U4459	 ШСК704	704.1-K1	Щит ШУК704	Щит ШСК704		
'2B521	*U4458	 ШУК704	SSK704-K1	Щит ШСК704	Щит ШУК704		
'2B513	*U4458	 ШУК704	SUK704-S1	Щит ШСК704	Щит ШУК704		
'2B505	ElectrikKabinet	7ШПС	ENET-SSK701-K2	Шкаф ШУК701	7ШПС		
'2B4F7	*U4457	 ШСК701	ENET-SSK701-K1	Шкаф ШУК701 	Шкаф ШСК701		
'2B4E9	*U4457	 ШСК701	701L-K1	Щит ШУК701	Щит ШСК701		
'2B4C0	*U22	701.SB	701-K2	Щит ШУК701	Пульт местного управления (701.SB)		
'2B4B2	*U4457	 ШСК701	701.1-K1	Щит ШУК701	Щит ШСК701		
'2B4A4	*U4456	 ШУК701	SSK701-K1	Щит ШСК701	Щит ШУК701		
'2B496	*U4456	 ШУК701	SUK701-S1	Щит ШСК701	Щит ШУК701		
'2B488	ElectrikKabinet	7ШПС	ENET-SSK551-K2	Шкаф ШУК2	7ШПС		
'2B47A	ElectrikKabinet	 ШСК551	ENET-SSK551-K1	Шкаф ШУК551 	Шкаф ШСК551		
'2B46C	ElectrikKabinet	 ШСК551	551L-K1	Щит ШУК551	Щит ШСК551		
'2B435	ElectrikKabinet	 ШСК551	551.1-K1	Щит ШУК551	Щит ШСК551		
'2B427	ElectrikKabinet	 ШУК551	SSK551-K1	Щит ШСК551	Щит ШУК551		
'2B419	ElectrikKabinet	 ШУК551	SUK551-S1	Щит ШСК551	Щит ШУК551		
'2B40B	ElectrikKabinet	7ШПС	ENET-SSK601-K2	Шкаф ШУК601	7ШПС		
'2B3FD	ElectrikKabinet	 ШСК601	ENET-SSK601-K1	Шкаф ШУК601 	Шкаф ШСК601		
'2B3EF	ElectrikKabinet	 ШСК601	601L-K1	Щит ШУК601	Щит ШСК601		
'2B3B8	ElectrikKabinet	 ШСК601	601-K1	Щит ШУК601	Щит ШСК601		
'2B3AA	ElectrikKabinet	 ШУК601	SSK601-K1	Щит ШСК601	Щит ШУК601		
'2B39C	ElectrikKabinet	 ШУК601	SUK601-S1	Щит ШСК601	Щит ШУК601		
'2B38E	ElectrikKabinet	7ШПС	ENET-SSK223-K2	Шкаф ШУК223	7ШПС		
'2B380	ElectrikKabinet	 ШСК223	ENET-SSK223.2-K1	Шкаф ШУК223	Шкаф ШСК223		
