Количество	Имя	Положение X	Положение Y	Положение Z	ОБОЗНАЧ_КАБЕЛЯ	НАЧАЛО	КОНЕЦ	Примечание	ДЛИНА	Длина1
1	ElectrikKabinet	20422.6312	29950.5828	0.0000	101.2-K1	Щит ШУК101	Щит ШСК101			
1	ElectrikKabinet	20422.6312	29950.5828	0.0000	101.1-K1	Щит ШУК101	Щит ШСК101			
1	ElectrikKabinet	20422.6312	29950.5828	0.0000	101L-K1	Щит ШУК101	Щит ШСК101			
1	ElectrikKabinet	20422.6312	29950.5828	0.0000	ENET-SSK101-K2	Шкаф ШУК101	Шкаф ШСК101			
1	ElectrikKabinet	20422.6312	29950.5828	0.0000	ENET-SSK101-K1	Шкаф ШУК101	Шкаф ШСК101			
1	ElectrikKabinet	20422.6312	27150.5828	0.0000	102-2-K1	Щит ШУК102	Щит ШСК102			
1	ElectrikKabinet	20422.6312	27150.5828	0.0000	102-1-K1	Щит ШУК102	Щит ШСК102			
1	ElectrikKabinet	20422.6312	27150.5828	0.0000	ENET-SSK102-K2	Шкаф ШУК102	Шкаф ШСК102			
1	ElectrikKabinet	20422.6312	27150.5828	0.0000	ENET-SSK102-K1	Шкаф ШУК102	Шкаф ШСК102			
1	ElectrikKabinet	1413997.1165	50005.0438	0.0000	2.1-K1	Щит ШУК2	Щит ШСК2			
1	ElectrikKabinet	1413997.1165	50005.0438	0.0000	2L-K1	Щит ШУК2	Щит ШСК2			
1	ElectrikKabinet	1413997.1165	50005.0438	0.0000	ENET-SSK2-K1	Шкаф ШУК2 	Шкаф ШСК2			
1	ElectrikKabinet	227669.5131	53046.3916	0.0000	217-K1	Щит ШУК216	Щит ШСК216			
1	ElectrikKabinet	227669.5131	53046.3916	0.0000	216-K1	Щит ШУК216	Щит ШСК216			
1	ElectrikKabinet	227669.5131	53046.3916	0.0000	ENET-SSK217-K1	Шкаф ШУК216	Шкаф ШСК216			
1	ElectrikKabinet	227669.5131	53046.3916	0.0000	ENET-SSK216-K1	Шкаф ШУК216	Шкаф ШСК216			
1	ElectrikKabinet	2780135.8865	49997.0803	0.0000	218-K1	Щит ШУК218	Щит ШСК218			
1	ElectrikKabinet	2780135.8864	49997.0803	0.0000	ENET-SSK218-K1	Шкаф ШУК218	Шкаф ШСК218			
1	ElectrikKabinet	232417.0296	53046.3916	0.0000	220-K1	Щит ШУК219	Щит ШСК219			
1	ElectrikKabinet	232417.0296	53046.3916	0.0000	219-K1	Щит ШУК219	Щит ШСК219			
1	ElectrikKabinet	232417.0296	53046.3916	0.0000	ENET-SSK220-K1	Шкаф ШУК219	Шкаф ШСК219			
1	ElectrikKabinet	232417.0296	53046.3916	0.0000	ENET-SSK219-K1	Шкаф ШУК219	Шкаф ШСК219			
1	ElectrikKabinet	1802603.7269	13959.2403	0.0000	221.1-K1	Щит ШУК221	Щит ШСК221			
1	ElectrikKabinet	1802603.7269	13959.2403	0.0000	221L-K1	Щит ШУК221	Щит ШСК221			
1	ElectrikKabinet	1802603.7269	13959.2403	0.0000	ENET-SSK221-K1	Шкаф ШУК221 	Шкаф ШСК221			
1	ElectrikKabinet	878048.1786	44267.8252	0.0000	222-K1	Щит ШУК222	Щит ШСК222			
1	ElectrikKabinet	878048.1786	44267.8252	0.0000	ENET-SSK222-K1	Шкаф ШУК222	Шкаф ШСК222			
1	ElectrikKabinet	1801364.9804	14925.0422	0.0000	223.2-K1	Щит ШУК223	Щит ШСК223			
1	ElectrikKabinet	1801364.9804	14925.0422	0.0000	223.1-K1	Щит ШУК223	Щит ШСК223			
1	ElectrikKabinet	1801364.9804	14925.0422	0.0000	223L-K1	Щит ШУК223	Щит ШСК223			
1	ElectrikKabinet	1801364.9804	14925.0422	0.0000	ENET-SSK223.2-K1	Шкаф ШУК223	Шкаф ШСК223			
1	ElectrikKabinet	1801364.9804	14925.0422	0.0000	ENET-SSK223.1-K1	Шкаф ШУК223	Шкаф ШСК223			
1	ElectrikKabinet	31999.7522	7869.5947	0.0000	224.1-K1	Щит ШУК224	Щит ШСК224			
1	ElectrikKabinet	31999.7522	7869.5947	0.0000	ENET-SSK224-K1	Шкаф ШУК224 	Шкаф ШСК224			
1	ElectrikKabinet	1604324.0530	75547.8951	0.0000	5.2-K1	Щит ШУК5	Щит ШСК5			
1	ElectrikKabinet	1604324.0530	75547.8951	0.0000	5.1-K1	Щит ШУК5	Щит ШСК5			
1	ElectrikKabinet	1604324.0530	75547.8951	0.0000	5L-K1	Щит ШУК5	Щит ШСК5			
1	ElectrikKabinet	1604324.0530	75547.8951	0.0000	ENET-SSK5-K2	Шкаф ШУК5	Шкаф ШСК5			
1	ElectrikKabinet	1604324.0530	75547.8951	0.0000	ENET-SSK5-K1	Шкаф ШУК5	Шкаф ШСК5			
1	ElectrikKabinet	1805081.0618	13959.2403	0.0000	551.1-K1	Щит ШУК551	Щит ШСК551			
1	ElectrikKabinet	1805081.0618	13959.2403	0.0000	551L-K1	Щит ШУК551	Щит ШСК551			
1	ElectrikKabinet	1805081.0618	13959.2403	0.0000	ENET-SSK551-K1	Шкаф ШУК551 	Шкаф ШСК551			
1	ElectrikKabinet	1797669.3353	13959.2403	0.0000	601-K1	Щит ШУК601	Щит ШСК601			
1	ElectrikKabinet	1797669.3352	13959.2403	0.0000	601L-K1	Щит ШУК601	Щит ШСК601			
1	ElectrikKabinet	1797669.3352	13959.2403	0.0000	ENET-SSK601-K1	Шкаф ШУК601 	Шкаф ШСК601			
1	ElectrikKabinet	3179993.6033	32572.2435	0.0000	701.1-K1	Щит ШУК701	Щит ШСК701			
1	ElectrikKabinet	3179993.6033	32572.2435	0.0000	701L-K1	Щит ШУК701	Щит ШСК701			
1	ElectrikKabinet	3179993.6033	32572.2435	0.0000	ENET-SSK701-K1	Шкаф ШУК701 	Шкаф ШСК701			
1	ElectrikKabinet	3398496.6397	33442.3325	0.0000	704.1-K1	Щит ШУК704	Щит ШСК704			
1	ElectrikKabinet	3398496.6397	33442.3325	0.0000	704L-K1	Щит ШУК704	Щит ШСК704			
1	ElectrikKabinet	3398496.6397	33442.3325	0.0000	ENET-SSK704-K1	Шкаф ШУК704 	Шкаф ШСК704			
1	ElectrikKabinet	20422.6312	31150.5828	0.0000	SUK101-S1	Щит ШСК101	Щит ШУК101			
1	ElectrikKabinet	20422.6312	31150.5828	0.0000	SSK101-K1	Щит ШСК101	Щит ШУК101			
